simulation_number,shower_length,total_water,water_type,heat_type,total_heat,total_CO2eq
41,8.519163163906759,96.8222061695122,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",13.942397688409756,0.5622527770564105
42,13.432591071403188,152.6644198594883,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",21.983676459766315,0.007869652484616465
43,7.827422805602745,88.96042135580646,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",12.81030067523613,0.5165988871172879
44,7.40835621272697,84.19763523778988,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",12.124459474241743,0.4889410818748395
45,12.945088256244217,147.1238406770732,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",21.185833057498538,1.6122370738977339
46,8.29317506538782,94.25380058252229,"tap water production, underground water with disinfection","Heat, central or small-scale, other than natural gas {CH}",13.572547283883209,1.4291687452197126
47,6.169450039011609,70.11718781962573,"tap water production, underground water with chemical treatment","Heat, central or small-scale, other than natural gas {CH}",10.096875046026105,1.0744772273646699
48,13.207148890608375,150.10221875026457,"tap water production, underground water with disinfection","Heat, central or small-scale, other than natural gas {CH}",21.614719500038095,2.27599734228425
49,5.439946158465522,61.82621207884632,"tap water production, conventional with biological treatment","Heat, central or small-scale, natural gas {CH}",8.902974539353869,0.6769311686547376
50,6.237340632316726,70.88877968792187,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",10.207984275060749,0.776825280051613
51,14.827383612382246,168.516550916037,"tap water production, underground water with chemical treatment","Heat, central or small-scale, natural gas {CH}",24.266383331909328,1.8466662486642667
52,12.653670765373398,143.8118153243909,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, natural gas {CH}",20.708901406712286,2.3629120292456225
53,11.387270076345956,129.41888655343897,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, central or small-scale, other than natural gas {CH}",18.63631966369521,2.6914258051267326
54,12.289943080413702,139.67796834609481,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Electricity, low voltage, Zurich, Switzerland",20.11362744183765,1.4753551564914227
55,11.296347778322312,128.3855341788832,"tap water production, underground water without treatment","Heat, district or industrial, other than natural gas {CH}",18.48751692175918,0.006618107473696764
56,11.562643022755807,131.41203954829987,"tap water production, seawater reverse osmosis, conventional pretreatment, baseline module, single stage","Heat, district or industrial, other than natural gas {CH}",18.92333369495518,0.7631181636712617
